TEAM_ABBREVIATION	COMMENT
	Still, Lakers will be the champion.
NYK	🤣🤣😭
NYK	Good playmaker-guard,  the best  L. Doncic's teammate.
NYK	Luka somewhere in North Texas punching the air rn!
NYK	Johnny: Why would he? Brunson is averaging 28/3/6, Kyrie is averaging 25/5/5, on 50/40/90 splits. He's good.
NYK	Lmao the last post said he had 5 straight games of 35+ points now they drop it to 30🤣
	🤷‍♂️
NYK	Geoff Whorrall Yeah he is balling, I’m not tryna take that away from him it’s just funny how they moved the goalpost. Jalen Brunson is definitely a beast.
	Antoine Jefferson yea most professional sports stats be reachinf
	Antoine Jefferson They didn’t move any goalpost. He had 30 points in the 6th game, so the stat changed.
	😅😅😅
	Jalen Brunson
	Let’s apply laker logic to this post, “barely won tho, against one of the worst teams in the league” there, Lebron haters would be proud.
NYK	He is a God … the pride I feel … the Knicks are finally good and still he is disrespected with MVP votes … I CANNOT wait for the playoffs… I just want to see a deep run if we lose against the Celtics in the semis… I’ll take it … but FINALLY… we are relevant … have been waiting for too long
NYK	He is the people's MVP
NYK	The definition of MVP
	Those assists are starting to be steadily around 10 per game
NYK	Brunson!!
	Brooklyn Nets Vs New York Knicks
NYK	Phenomenon Player
	Aloysius Khwinana you are right
NYK	The knicks AVATAR
NYK	MVP
NYK	Jalen Brunson 🔥
NYK	🧡💙
NYK	🧡💙
BKN	Nets waste another season 🙁
BKN	Chris Paynter They're gonna be in limbo for awhile
NYK	Jalen don't get respect enough....the guy is put out numbers this season
	Still remember the words of Candice
BKN	🙄
NYK	Brunson is on hoy fire 🔥🔥
	This doesn't change the fact that Lakers will be the 2024 NBA champions LeBron MVP
	Hot
	今年年度mvp應該就是Bronx Bomber
	Battle of New York. 
	Si este tipo no eh el mejor point Guard de la conferencia Este hay problemas serio hay Brunson lidera a su equipo con 28.6 puntos por partido en asistencias con 6.7 new York Knicks que no eh una ofesiva muy buena este equipo es más un equipo de rebotes y Brunson tiene a su padre hay mismo Rick Brunson asistente de Tom Thibodeau el Coach de new York Knicks si no me equivoco Brunson también es líder en triples por partido con 40.2 empatado con con Donte divichezo y new York Knicks eh más un equipo de defensa está entre lo 8 mejores equipo está temporada en deficiencia defensiva ahora ofesiva es lo mismo están muy bien 8 mejor también y es el segundo mejor equipo que permite menos puntos 108.1 casi nah es un equipo que defiende poco en triples esa nueva York eh un equipo pésimo tirando libres una de su puntos malos 78.1 y este Brunson Guard titular está teniendo su mayor cantidad en puntos por partido su mayor cantidad en asistencias y aunque el equipo sea horrible tirando de tiros de libre el hace la diferencia tirando de un 84.5 confiable este muchacho a la línea de tiros libres de por vida overall en triples tira un 39.1 porciento y el un tipo jovencito pal desarrollo que tiene 27 años de la universidad de Villanova y tiene 410 tiros libres hechos convertidos en 485 apariciones está temporada muy buen porcentaje está temporada también superó mayor marca en triples con 210 en totales el ganó dos veces el título de la NCAA 2016-2018 teniendo de compañero hay a Mikal Bridges el de los Brooklyn Nets el Foward-Guard titular de ese equipo y tenía a su compañero también con los New York Knicks Josh hart el guard y también a Donte divichezo con hart lo ganó en el 2016 con este muchacho con divichezo ex Warriors lo ganó dos veces igual que con Mikal Bridges incluso Donte divichezo fue el jugador mas mejor jugador ese último año en Villanova 2018 del torneo este muchacho divichezo
NYK	Let's get 50 wins !!!
NYK	He too small lmao😆
	I'm gifting 5 grand to the first 5 people to hit me up with 
NYK	Wow only won by 4
	🗑️🗑️🗑️🚮🚮
NYK	All NBA 1st team
	Hit me up let’s stack up 💪🏽💰💯
	As a millionaire living my best life, I’m 5 grand  to the first 5 people who message me ‘GRACE’. It’s all about sharing the blessings. Stay bless y’all!
	💯💯🔥🔥✅https://t.me/+MuCfJv4lgp9mNzFk
	As a millionaire who is living his best life.
	Hey everyone am Ginno Torres I'm thrilled to announce that I've won the lottery, and I want to use this opportunity to help those in need. I'm looking for ways to make a positive impact actually made a promise to God to help the needy, DM me if you need any help.
