TEAM_ABBREVIATION	COMMENT
BOS	PML BOSTON Good Game 💪💤
SPAM	Mac Walker https://t.me/+5MrkOTrOhRhlZjM8
	Boston Celtics Vs Brooklyn Nets
BOS	GOOD GUARD BUT JUS GOT TO GET THE TITLE AND HIS RING DURING THE SEASON HE OK  PKAYOFFS DIFFERENT STYLE GOTTA FOCUS  GOD BLESS JAYSON AND MBA ALL THE WAY PEACE😉👍👌✌🙏🏻👏💯💯💯💯💯💯💯💯
BOS	All that just to get blown out by Caleb Martin and an Emo Punk barista in Game 7 at the TD Garden lmao 😩😭☠️🤣
BOS	NBA hating hard trying their best not to give him MVP.
BOS	Terrence McHatten It's unbelievable to not even have him as a contender for the award.
	Si Boston no ganas el anillo este año pasarán a un equipo del montón.
	Doble doble de JT el número 20 en esta temporada líder entre lo small forward en doble doble empatado con Scottie Barnes con 20 entre los small forward alero con más doble dobles y Boston como decía en es un equipo que ataca rápido en lo primera mitad … Wyświetl więcej
BOS	Congrats my tatum and team celtics .. you get winner in the game .. always succes for my tatum and team celtics
SPAM	Hany Efendy https://t.me/+S-x8wFnk5kRjYjU0
BOS	Still number one in the league 🥱☘️
BOS	Big Al Horford play well 😤🫡🦾🦾🦾🦾💪🏻💪🏻
	sa playoff cia nagkakalat
BOS	Love it... JT.
	Regie Bañaga sure it a good one 🥰
	Tamahae Baker this is just turning into Ross pick up games for him bara he’s itching for playoffs I want Jimmy
	Wow lakas ahh
	Elilita ery Cam Thomas le tsy resy nareo fa resinay 😂
	Fifaliana nampandresenay ftsn ren😂
	Inibigkita song
	Wow
BOS	Let’s Go Boston Celtics ☘️☘️☘️
BOS	☘️☘️☘️
BOS	🍀🍀🍀
BOS	🍀🍀🍀
	Napaka lakas talaga
BOS	☘️☘️☘️
	Titou Latit
	Théo Branenx il est chaud
	💚🤍
BOS	Let's Go Jayson Tatum Jayson Tatum
BOS	Titanium Tatum!!
BOS	Give the mvp to this man
	Number 1 Boston all the way
	Jayson Tatum
BOS	JT☘️☘️☘️💚
	Another Good Win By The Celtics
	Rafael Leon Pica 🏀
	Should be 6 ast why did they take one off 🤬
BOS	But but but, he didn’t get a triple double.
BOS	Best in BUSINESS!!! #18 Bound!
BOS	Most over rated player ever
BOS	Tatum is on 🔥💚👏🏾
BOS	JASON
	What's going on with JB???
BOS	Fucc Boston
	Teflon Don they teach spelling down there in Miami? Or you guys don't use the letter k? Us Bostonians are curious to know
	Teflon Don you hate us because you ain't us!!! 😁
	Teflon Don Teflon lmaooooo, more like tinfoil!
BOS	5 Assists 💯🙄🙄👎👎👎 he ain't no Play Maker and that's why hell never be GREAT 💯 he's Good but he should be getting TRIPLE doubles 💯🙄
BOS	Allen Davidson he’s had 7+ assists in the last 4 games. Stop it
SPAM	https://t.me/discordgg7Tf3ufsQ
SPAM	https://247dailysport.com/.../steph-loses-klay-hilarious.../
SPAM	Congrats my tatum and team celtics .. you get winner in the game .. always succes for my tatum and team celtics
SPAM	"Things are kinda tough at especially this time of the year so I'm gifting 5 grands to the first 10 people to message me with ""TOUGH"" let's spread love and end inhumanity ❤️"
SPAM	https://www.facebook.com/groups/2024nbaallstargame
	NEW GAME GRAND OPENING
	Alexis Anas
SPAM	https://t.me/+MZ425qQCUGY3ODRk follow up for wining 🏈🏀⚽💪⚽💰🤑
BKN	Where Brooklyn at baby???? Remember when they thought they were “taking over the city”. Durant said “the Knicks aren’t cool anymore” LOL 🤣🤣🤣💀💀💀. Yeah,how’d all that work out for y’all?????
SPAM	"Things are kinda tough at especially this time of the year so I'm gifting 5 grands to the first 10 people to message me with ""TOUGH"" let's spread love and end inhumanity ❤️"
