TEAM_ABBREVIATION	COMMENT
	🎉
TOR	I can't even watch the raptors play anymore this coaching staff is a big joke these guy needs to go back to the g league and the coach needs to be fired
BKN	About to be eliminated ice in vein
BKN	Ice in his veins🔥 famous signature ng Lakers
	🤣 🤣
	JM Fuentes stop mentioning his former team
BKN	Jersey 🔥🔥🔥
	Dennis + 6.5 assist 😄💸💸 IYKYK
BKN	Bro is a fighter
BKN	What’s the record
BKN	good
BKN	❤️❤️❤️
BKN	Cool
BKN	🔥
BKN	💪💪💪
	"""Chắc lại tí c tí pod chill chứ j"
TOR	Bounce Back Raptors 😭
	Rondo shoulders
	Deniss the menace 😊
	Healthy Schroder &gt; Lebron by a mile
	ice in veins brotha yo lakers misses you
TOR	No surprise. The Raptors are in self- destruct mode. Playing for last place.
BKN	The 🦁
BKN	Stupid move to send Schroeder away.
	ice in the veins lol..they should stop doing this..looks ridiculous..
	The guy who DLo jealous with.🤣
	Adrian Griffin got fired from the bucks with a winning record and this guy still have his job with losing record I used to watch this team but now it's a big joke they're not even competing not even a little effort
BKN	Finally got off the Schneid.
	No sabía a donde se había ido Dennys Schroder luego de salir de los lakers
BKN	Dennis Schroeder
	Germany vs USA 3x3 
BKN	The Crockodile🐊
TOR	Good job raptors
	Brooklyn Nets Vs Toronto Raptors
	///
	The battle of the basement dwellers!! Who cares!! What an asinine celebration when your team is 27-45!!! Lmao!
	Scott McDonough hi
	Scott McDonough
	Dennis the menace
	🤣
	He was happy to face an injured team. We all know if it was another team that was injured y'all wouldn't be giving him any props cause you all are weak minded haters.
SPAM	https://www.facebook.com/share/DVgyudPWxiWrysWM/?mibextid=K35XfP
	Imma be giving out 5 Grand to the first 5
	????
SPAM	"Things are kinda tough atm especially this time of the year so l'm gifting 8 grands to the first 10 people to message me with ""TOUGH"" let's spread love and end inhumanity.❤️🏦"
	Great job bottom feeders 😂
SPAM	Αχώνευτος με οποιοδήποτε φανέλα
SPAM	https://t.me/+Bk1YW2Qv5ng2YWU0
	laker 😔
	Ds 17 💜💛
BKN	Vs Raptors 905
	09128989403 me
	H
SPAM	I'm 🅿️aying $5000 to the
SPAM	Dm me with your cashapp tag or PayPal and get paid immediately 🥰💯💯
SPAM	The world is rotten and people don't mind, we aren´t here to enjoy or have fun, this life is a proof. It´s incredible, no matter how difficult the situation gets, almost no one wants to obey GOD - JESUS CHRIST and TRULY do his will (far away from relig… Wyświetl więcej
SPAM	5 grands for the first 5 people to hit me up with God is Good
	Terrible teams terrible score lol
