TEAM_ABBREVIATION	COMMENT
IND	At least they'll have something to be proud of after their first round exit from the playoffs
	Lambordi Vince remember them words sir
IND	Lambordi Vince I'm not sure you watched us absolutely cook the bucks this season but not a single pacers fan fears the bucks
	I love watching them play!
	LeBron James is the Greatest of all time next to MJ, Steph, Kobe, and Duncan..
	Teams ought to be ashamed of themselves. The Portland Trailblazers set an NBA record to be the first team to lose two games in a season by 60 points or more. In today's NBA that's achieving
IND	This is how he has to play for the Pacers to go deep. Go for rebounds always and shoot many shots. He is a good player
IND	you know there's something wrong with the NBA when you see a team score 150+ points...
IND	this is absolutely the worst case scenario for the bucks 😐
	Atlanta Hawks Vs Indiana Pacers
	Anjo Nathaniel Comaling how do you know?
IND	Love my 💙💛🏀
	Any other game this bum wanna have 10 pts and 3 rebounds
	Good job
	Greg Bealer
IND	✌..💯💸..Congratulations..💸💯...✌
	👇👇𝐂𝐥𝐢𝐜𝐤 𝐓𝐡𝐞 𝐥𝐢𝐧𝐤⬇️⬇️⬇️⬇️ 👉https://pkqdeal.com/c/
	This doesn't change the fact that Lakers will be the 2024 NBA champions LeBron MVP
	Manando Atm Cebza
	Bucks first round exit against their team owner Tyrese Haliburton confirmed 😩😭💀🤣
IND	Mr inconsistent
IND	Turner's so underrated.
ATL	Lets go hawks ! Finals bound !💪🏾💪🏾
	3 of those 150s were vs ATL lol
	Play off 🏀
	Mhen
	Myles Turner
ATL	Has anyone seen a worst defense than the hawks?
	Gregorio Andres Rosas Beroiza yes golden states warriors
	Olamilekan Olasupo pistons bro
	Vel Ocity ok
ATL	Gregorio Andres Rosas Beroiza crazy. They dropped 150+ on them 3 different times this year
	Things are kinda tough atm especially this time of the year so l’m going gifting 5 grands to the first 7 people to message me with “GRACE” let’s spread love and end inhumanity.
	✌..💯💸..Congratulations..💸💯...✌
	👇👇𝐂𝐥𝐢𝐜𝐤 𝐓𝐡𝐞 𝐥𝐢𝐧𝐤⬇️⬇️⬇️⬇️ 👉https://pkqdeal.com/c/
	😐
	Don't forget 4 blocks as well
	IM FUNDING 6 GRANDS to the  First 7 People To
	🎉Cinco De Mayo Weekend🎮Gaming Tournament🏆Indianapolis, Indiana
	"THIS IS MY WAY OF HELPING  OUT THOSE FACING CHALLENGES THIS MONTH, I'II SUPPORT SEVEN INDIVIDUALS WITH 5 GRAND WHO WRITES TO ME USING THE PHRASE ""STRUGGLING”"
	👋
ATL	157? 😂🤦
	"A supportive message for those in our state dealing with tax or bill issues – DM in with  ""GOD DID,"" and the first 14 responders might just find a boost of 5 grands coming their way! PLEASE IGNORE THIS IF YOU HAVE ENOUGH TO FEED AND PAY BILLS Y'ALL STAY BLESSED."
	"I'm Giving out 5 Grand To The First (10) People To Message Me With ""HARD TIME"" Cus"
	"A supportive message for those in our state dealing with tax or bill issues – DM in with  ""GOD DID,"" and the first 14 responders might just find a boost of 5 grands coming their way! PLEASE IGNORE THIS IF YOU HAVE ENOUGH TO FEED AND PAY BILLS Y'ALL STAY BLESSED."
	✌..💯💸..Congratulations..💸💯...✌
	👇👇𝐂𝐥𝐢𝐜𝐤 𝐓𝐡𝐞 𝐥𝐢𝐧𝐤⬇️⬇️⬇️⬇️ 👉https://pkqdeal.com/c/
IND	Pacers Up !!!!
IND	Turner is HIM
IND	Pacers in 6
	Beat the Bucks now
	Bucks have outplayed and dominated by the pacers 😤 gonna be a fun series
IND	Mfers don’t even realize he didn’t even play the 4th quarter smh
	INDIANAAA!!! JOIN OUR NBA GROUP AND REPRESENT THE HOOSIER STATE THIS POSTSEASON 🏎...https://m.facebook.com/groups/1154488374590016/?ref=share&amp;mibextid=NSMWBT
	‼️GAMEDAY‼️
	⤵️… Wyświetl więcej
	"""Hey, it's Brain Hoover here! I struck gold with a $70 million win from the lotto spot lottery back in January 2024. I believe in sharing the wealth, especially when there are so many in need. That's why I’m looking to help out 100 families with some financial support as part of my heartfelt donation. I hope that our contribution can bring some smiles to those facing challenges and small businesses. Shoot me a direct message, and we'll randomly select the recipients. Let's spread some joy together!"
	✌..💯💸..Congratulations..💸💯...✌
	👇👇𝐂𝐥𝐢𝐜𝐤 𝐓𝐡𝐞 𝐥𝐢𝐧𝐤⬇️⬇️⬇️⬇️ 👉https://pkqdeal.com/c/
