TEAM_ABBREVIATION	COMMENT
NOP	Allstar
NOP	Pels and Kings should have All Stars
NOP	Congrats pelicans.. get winner in the game
NOP	My man my man my man BI Geaux New Orleans Pelicans 🏀
	❤️🖤🏀🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊
	Mark Direen
	Simon Slater who he lol 😝
	🥰🥰🏀
NOP	Brandon Ingram
NOP	the #pelicans destroyed the raptors for their 3rd straight win!!! congrats 🙂
TOR	Bounce Back Raptors 😭
NOP	First round and out. They've never done anything. And no one's getting fat except Papa Zion.
	Toronto Raptors Vs New Orleans Pelicans
SPAM	Let’s spread love and end inhumanity so I’m gonna be helping 10 lucky people with 5 GRANDS To Hit Me Up with “ALIVE ” stay blessed 😇❤️💯
SPAM	"I'M SENDING 5 GRAND TO the people to hit me up now with "" BLESSED’’cus I feel some people are going throu gh “FAITH “ I'm willing to help stay blessed y'all❤️🕊"
	Congratulations BI🔥🔥🔥
SPAM	Imma do this once sending 5 grand to the first “7” people who hmu with “ROUGH DAYS” Cus I feel some people Going Through “HARD TIME, Y’all Stay Blessed
SPAM	Don't be embarrassed of your situation. Half of people are covering up the same situation with filters and smile, make a plan, cut off distraction, Stay focused, execute consistently and with strong believe you'll make it. Contact Mr Calvin Raymond
	in just 3 quarters
NOP	Brandon Ingram
SPAM	Mr Stephan Nilsson, has shown and proof me that trust is the key in trading at first I started seeing posts about Mr Stephan Nilsson, i decided to trade for the first time with Mr Stephan Nilsson, and to my greatest surprise when my payment was due I m… Wyświetl więcej
NOP	BI is dumb nice. 🫡
SPAM	THIS IS HOW I GOT MY EX BACK
SPAM	"I'm voluntarily giving out 5 Grand 🤩 to The first (😎 individuals to Message Me ""GRACE"" cus I know how hard it is out there stay blessed y'all 🦅❤️"
