TEAM_ABBREVIATION	COMMENT
PHX	Congrats Suns. Good performances in this game 👏👏
MIN	😭
	Willy Rahadian
PHX	nice, get your win now. The wolves are taking you out first round!
MIN	I see Minnesota didn't want to play the Pelicans
	Gerard Robins pelicans ? They not even making the playoffs . What u talking about ? 😂😂 they finna lose to lakers . Then lose to golden state
	Armando Frias Pelicans getting in
	Gerard Robins who y’all gonna beat ?
PHX	Armando Frias We can beat the Lakers, Kings, or GS. To honest I'll rather see OKC than Denver
	😂 if we get past wolves we play winner of Denver or whoever it is
	Gerard Robins what game you watched today make you think they beating LAL Tuesday?
	Thaddeus Banks Jr. It doesn't matter like I said I'll rather the Pelicans play OKC. I don't think LAL want to see Denver either
	Gerard Robins the pelicans not coming out the first round if they even get in.
	Gerard Robins OKC dog walked the pelicans in the season series.
	Thaddeus Banks Jr. I can't argue with you on that first round thing
	Gerard Robins out all teams the the play in the Pels the weakest link everyone else playing better ball other than maybe the kings
	Thaddeus Banks Jr. Lakers are losing on purpose next game to avoid Denver.
	Francisco Rim can’t avoid them if you plan to get out the west.
	Thaddeus Banks Jr. I'll just watch and see what happen
	Gerard Robins ... I saw the pelicans get stomped by the Lakers
	Gerard Robins cringe. They got toasted by the suns
PHX	Yay!!!!! Go SUNS goooooi🏀🏀🏀🏀🏀🏀
MIN	It looks like the Wolves will get burned.
PHX	I can see Suns making the WCF and pushing the Nuggets to a game 7. KD, Booker, and Beal is a huge upgrade over KD, Booker, CP3, and Ayton. Having guys like Grayson Allen, Nurkic, Eric Gordon, and Isaiah Thomas certainly helps too. Suns are actually deeper than credited.
PHX	Loc Tran Suns will play Nuggets in the 2nd round if both teams make through 1st round...
	Loc Tran yung gsw nla tiyk ibubuhos ang galit ng kings sa knla pag nagharp cla go.mgo..kings win yan
PHX	The Suns not going any where in the playoffs
MIN	As a wolves fan, this was painful to watch…
MIN	Dan Zastrow I’m sure the last two games vs Suns were painful
	Dan Zastrowedwards is going to have better game this first round big time
