TEAM_ABBREVIATION	COMMENT
OKC	Hardly cruised past
OKC	Lebron never did this kind of stats in his entire career.. this man absolutely better than bron, this is just my opinion. No hate ❤️
CHA	🤷‍♂️
OKC	These young brothers are getting it done with out there 2 others starters. Well - done
	Oklahoma City Thunder Vs Charlotte Hornets
OKC	Aaron Wiggins 🏀
	Ock for the future 👑
	Okc vs thunders.lol
	❤️❤️❤️
CHA	Lol what cruise past, they almost lost to hornets man
OKC	Cruise seems like a big word for a small lead
OKC	Such a deep roster, triple double for giddey too
OKC	Mat Coultas Australians still gotta defend pedophiles, it’s the 2nd worst team in the nba btw
	Tanveer Singh get back to your uber driving bud
OKC	I don't think 3 points is cruising past anything but a dub is a dub
OKC	Facial hair patchier than my last relationship.
OKC	Why is Aaron’s neck green?
	Had to read that twice
OKC	Cruise?? lol
OKC	Cruise implies easy win?
OKC	Aaron Wiggins
	Who Dat?
SPAM	"As a HUMANITARIAN I'm willing to take care of the bills &amp; debt of the first 4 people to HMU With the word ""GRACE”❤️🙏💯"
SPAM	"𝗜'𝗠 𝗣𝗔𝗬𝗜𝗡𝗚 𝗢𝗙𝗙 𝗗𝗘𝗕𝗧𝗦 𝗢𝗙 𝗙𝗜𝗥𝗦𝗧 5 𝗣𝗘𝗢𝗣𝗟𝗘 𝗧𝗢 𝗜𝗡𝗕𝗢𝗫 𝗠𝗘 ""STRUGGLING ""🇨🇦🇺🇲"
