TEAM_ABBREVIATION	COMMENT
NOP	3rd straight wins for the #pels, sending the #wizards to their 8th straight loses!!! great teamwork as 6 players scored on a double digit on their victory 🙂
	Danny is constantly improving
NOP	Believe in Zion, and it will be like Shaqui O 'Neill in the future.
NOP	WTG Big Z! Leaux Geaux 🏀
	Washington Wizards Vs New Orleans Pelicans
	avdija 43 pts, 15 reb ❤️‍🔥
NOP	Only shows up against weak teams. And they BARELY beat the wizards.
	Kevin Reyes show up every game, get off that meat
	🗑️
	Kevin Reyes a win is a win
WAS	Wizards
NOP	Zion Williamson
WAS	Deni with that 43 tho 💪🏽
NOP	He’s a beast… Z that is
NOP	Love big Z! He is a beast!
NOP	Is he gazing at a cheeseburger?
	Jerry Miah hes gazing at his bank account. And laughing at you
	thats a given
WAS	9-45 is crazy 🤣🤣
NOP	The Mountain💪
	Holy crap he done something..
	HMU rn let's stack up some bread if not stay shining regardless..🤞🩷
NOP	The New Orleans Pelicans are the best team in the western conference league. 😳😤🙅🥳🐏💨🔥
SPAM	Key Forward's Personal Matter Clouds Availability for Important Game....https://uniexmag.com.ng/.../key-forwards-personal-matter.../
SPAM	"Things are kinda tough atm especially this time of the year so as a way of helping out those facing challenges, I'm gifting 5 grand to anyone who message me with ""ALIVE"" let's spread love and end inhumanity❤️"
WAS	Deni is him
NOP	lazy willianson
	Johny Lee squark squark
