TEAM_ABBREVIATION	COMMENT
TOR	See You On Next Season Raptors 😭
MIA	76ers vs Miami in the play-in wow 😍!
MIA	Let’s goooooo 🔥
	Roberto Sayno
MIA	🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
MIA	nice
	This doesn't change the fact that Lakers will be the 2024 NBA champions LeBron MVP
	Hi i’m single
	Toronto Raptors Vs Miami Heat
MIA	Thomas Bryant
	Dominates the Raptors? 😂🤣😂🤣😂🤣😂🤣😂
MIA	Thomas Bryant
SPAM	Things Are kinda tough which I saw in many life’s Stranded with little help am Gifting 5 GRAND💸) To the first 6 people to Message me up with “GOD NEVER FAIL 🎉🕊️🥶”STAY BLESSED
SPAM	You’re in debt or you need financial assistance ⁉️Dm “GOOD GOD” 💰
SPAM	"I'm voluntarily giving out 5 Grand 🤩 to The first (😎 individuals to Message Me ""GRACE"" cus I know how hard it is out there stay blessed y'all 🕊️🍀"
