TEAM_ABBREVIATION	COMMENT
MIL	The bucks are flying!!
MIL	Lebron never did this kind of stats in his entire career.. this man absolutely better than bron, this is just my opinion. No hate ❤️
	Jonel Campuso you know Jonel… you simply had to say “I JUST starting basketball last month”
MIL	How deep in the playoffs can he carry them?
	Orlando Magic Vs Milwaukee Bucks
MIL	He really be hooping when Giannas gone
MIL	💚🦌🏀🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊
	Allen Eduard Zulueta Rey
	Sameer Winferd
MIL	B-Port💪
MIL	Sixth man of the year.
MIL	Bobby Portis
MIL	MILLittle Rock proud
MIL	Bobby Portis
MIL	Bobby Bobby Bobby
