TEAM_ABBREVIATION	COMMENT
PHI	I didn't think they had a chance, l said I would be shocked if they win this game. Lots of credit goes to their team. So what is to be said of Dallas?
	😭😂
PHI	🔝BiGGESTTTTTT!!!!!!!🔝🏆
	SamantraJust Follow!!!!💩
	Tyrese foi o verdadeiro comandante dos 76ers
PHI	Good work 76ers without Maxey we wouldn't have this victory 👌👌❤️
PHI	Good thing I did not bet on mavs
PHI	Let’s go Sixers
	I'm legitimately Paying 2
	👍
SPAM	Take care of me, cameron the other regalon and amanda... they are everything in this life and very important points on the stage... mi love mi life. 40k.
	Tnx phila dumidikit na mavs sa baba makipag agawan din sa 9&amp;10 spot
	🔥
	🌟
PHI	Without Embiid.
PHI	The goat
PHI	Good victory for 76ers
DAL	Dallas is not a good team. They don't have a good front court.
	Gigi Mathew why will you say that
DAL	all that hype about 7 game winning streak.. mavs still suck.
SPAM	The I’m sick of “I’m blessing people with 5 grand” button
	Los 76 Sixers comienza este penúltimo mes con un muy buen récord positivo de 2-0 el último mes fueron un desastre con 4-8 con un porcentaje de puntos por partido malísimo de 109.8 muy diparatoso tirando de 34.4 de triples no tan bien positivo que tuvo 76sixers en ese mes fue su poca perdidas de balones osea tuvernovers balones perdio 10.9 y este equipo sin su pívot Center-foward Joel embitt está temporada es de 9-17 horrible fatal con 111.6 en puntos por partido algo diparatosame incostente y con Joel embitt en cancha está temporada se ve mucho más bien de 26-8 y un porcentaje de puntos por partido diferente de 121.4 se ve un gran y lejana diferencia entre con embitt y sin embitt está temporada este equipo con embitt es mucho más Consistente de lo que se imaginan
DAL	7 points lead in 1 minute time left and still managed to lose lmao
	I will tell my grandkids that this is J.Cole 😂
DAL	Luka Doncic loses with a Triple Double
PHI	Let’s go sixers
DAL	Where the Luka for MVP folks at lmao 😂😂
DAL	Ray QuizzleLuka for mvp still lol
DAL	Ray Quizzle triple double and the games leading scorer…your comment is weak
SPAM	8 grands for the first 5 people to hit me up with God is Good
PHI	Von LosGod is good!!!!
	Maurice Horton HMU
	Jayson Smith  
	malapit ba mahabol standing nang dalas haha
	😮
	Ricky Seal stop
SPAM	I’m Blessing 5 GRAND TO the first 5 people To message me “ LOVE IS GREAT “ stay blessed y’all
SPAM	Let’s end inhumanity!! I’m paying 5 GRANDS to the first 5 people to message me “HARD TIME”👀💰
	Ligong pula namn si boss patricio
SPAM	"I'm legitimately paying 5 grands to the first (7) people to DM with ""HARD TIMES cus I feel some people going through"
PHI	And Maxey is a POS FLOPPER 💯💯💯💯🙄🙄🙄 Embiid taught him that BS 💯👎👎👎👎🤮🤮🤮🗑️🗑️🗑️🗑️🗑️🗑️🏀🏀
SPAM	I'M PAYING OFF THE DEBTS
PHI	Harris is overrated 💯🙄🙄 he can't make a God Dam Layup 💯 and he's a Fukin Ballhog 🏀🏀🙄
SPAM	Things Are kinda tough which I saw in many life’s Stranded Am God Fearing Man 🕊️ with little help am Gifting 5 GRAND💸) To the first 6 people to Message me up with “TOUCH🥶”STAY BLESSED 🤑🕊️❤️
SPAM	He works really hard to make sure you TAKE PROFIT 💰 and earn enough pips✅✅
SPAM	I'm legitimately Paying 2
